书序,书名,作者,出版社（版本）,ISBN码,内容简介,阅读要点,阅读建议,grade,编号
1.0,记忆传授人,【美】洛伊丝·劳里,河北教育出版社/启发,9787554513514.0,"讲述了一个看似理想的世界，一个名为乔纳斯的12岁男孩被选为接受整个社区所有记忆的“记忆传授人”。这个社区消除了痛苦、恐惧、战争，甚至选择权，以确保一个平和统一的社会。但随着乔纳斯开始接受前任记忆传授人的记忆，他意识到社区为了保持这种状态而做出的牺牲，包括真正的感情、颜色、甚至个人选择的权利。
","1、主题理解：认识到个人自由、记忆的重要性以及个体与社会的关系。
2、角色成长：观察乔纳斯如何从一个服从规则的孩子成长为有自己独立思考和质疑的人。
3、社会构造：思考书中描绘的社会与我们现实世界的异同，以及这样的社会构造对个人有什么样的影响。
","1、深入思考：思考如果你生活在乔纳斯的社区，你会怎样看待社区的规则和生活方式？有哪些是你认为值得保留的，哪些是你认为应该改变的？
2、情感共鸣：试着感受乔纳斯接受记忆时的情感变化，特别是他首次经历悲伤、痛苦和快乐时的反应。
3、创意写作：想象自己作为一个新的角色进入故事，你将如何与乔纳斯互动，或者你会做出什么样的选择来改变或影响故事的走向。
",六年级,
2.0,卧底机器人,【英】戴维·埃德蒙兹【英】休·弗雷泽,中信出版集团,9787521737271.0,《卧底机器人》是一本引人入胜的儿童科幻小说，讲述了一个高科技机器人小朵伪装成12岁女学生，参加一个实验的故事。如果小朵能在一整年里不被人发现真实身份，她就能为她的研究团队赢得1亿美元的奖金，以继续推进人工智能方面的研发。这个故事不仅有趣，还涉及到人工智能、人性和道德等深刻主题，让读者在轻松愉快的阅读中思考科技与人类的关系。,"1、科技与人性：关注小朵如何在学校生活中学习和模仿人类行为，以及这个过程中对人性的探索和理解。
2、友情与成长：通过小朵与人类孩子们的互动，感受友情的力量和成长过程中的挑战与乐趣。
3、伦理与哲思：思考机器人与人类的界限，以及未来科技发展可能带来的伦理和哲学问题。","1、想象与探索：在阅读过程中，试着想象如果你是小朵，你会如何应对学校生活中的各种挑战，以及如何与周围的人建立友谊。
2、深入讨论：与朋友或家人一起讨论书中提出的科技与人性的问题，如机器人是否能够拥有真正的情感，人类该如何与高度发展的人工智能相处。
3、创意写作：尝试写一篇短故事，描述一个全新的机器人角色，探索它在人类社会中的角色和冒险。",六年级,
3.0,爱的教育,【意大利】埃·德·阿米琪斯,人民文学出版社,9787020137664.0,《爱的教育》是意大利作家阿米琪斯创作的一部儿童文学经典，讲述了一个意大利小学生在一个学年内的成长故事。书中以主人公的日记形式记录了他在学校、家庭以及社会中的经历，展示了友情、爱心、勇敢、正义等美德。通过主人公和他的同学们的故事，传达了爱的教育对孩子们成长的重要性。这本书自1886年出版以来，已被翻译成多种语言，影响了世界上许多国家的读者。,"1、角色成长：留意书中主人公和其他角色在遭遇挑战和困难时，是如何展现出勇气和坚持，以及他们是怎样在这个过程中成长的。
2、爱的价值：通过阅读，理解爱在人与人之间的关系、帮助他人以及自我提升中的重要性。
3、文化和历史背景：了解故事背后的意大利历史和文化背景，思考这些背景如何影响故事的情节和角色的行为。","1、日记写作：模仿恩利科，尝试写一篇自己的日记，记录一天中发生的有趣或重要的事情，以及你对这些事情的感受和学习。
2、角色扮演：和同学一起选择书中的一个场景或事件，通过角色扮演的方式重现故事，帮助深入理解人物性格和故事情节。
3、探讨与反思：与同学或家人讨论书中的主要主题和事件，分享你的想法和感受，尤其是关于如何在日常生活中实践“爱的教育”。",六年级,
4.0,童年,【苏联】高尔基,时代文艺出版社（无障碍阅读）,9787538768367.0,"《童年》是高尔基的自传体小说，讲述了主人公阿列克谢从三岁到十岁的生活。在充满暴力的家庭和19世纪末俄国社会底层环境中，阿列克谢经历了苦难与挑战。外祖母的爱和智慧，以及对知识的渴望，成为他成长道路上的指引和慰藉。小说揭示了社会现实与人性的复杂，同时展现了童年的纯真和坚韧。。
","1、角色特点：关注阿列克谢如何在逆境中保持乐观，以及他对家庭、友情和生活的态度如何影响他的成长。
2、主题理解：通过阅读，理解成长的艰辛、亲情的重要性和社会不公对个人成长的影响。
3、情感体验：体会书中描述的各种情感变化，如悲伤、孤独、喜悦和希望，感受人物内心的复杂与深刻。
","1、想象与思考：在阅读的过程中，试着将自己置身于阿列克谢的环境中，思考如果是你，会如何应对这些生活中的困难和挑战。
2、情感共鸣：当你阅读到阿列克谢的遭遇时，试着感受和理解他的情感，思考这些经历如何塑造了他的性格。
3、深入讨论：与同学或家人分享阅读中的感受和想法，讨论成长过程中面临的挑战和学习的教训。
",六年级,
5.0,万物成长的故事,【日】稻垣荣洋,北京联合出版公司,9787559664631.0,《万物成长的故事》是一本充满萌趣和哲理的自然科普书籍，由日本农学博士、植物学者、自然科普畅销书作家稻垣荣洋创作。这本书通过介绍各种自然界生物的成长样态，让我们反思对于人类来说“学习”和“成长”的意义。书中不仅有关于动物的奇妙故事，如河马张大嘴巴的原因、大猩猩首领的“奶爸”身份，还探讨了如何衡量植物的生长情况、蒲公英让种子飞走的真正原因等自然现象。,"1、生长规律：理解书中通过动植物成长的例子，展示的自然界的成长规律和生命的多样性。2、成长与适应：观察不同生物如何适应环境和情况，实现个体的成长和发展。
3、自然与人类：思考自然界的现象和人类成长之间的相似性和联系，包括我们如何从自然界学习成长的智慧。","1、观察与思考：在阅读过程中，尝试观察周围的自然环境，思考书中的自然现象与现实世界的联系。
2、探索与发现：自己动手做一些简单的科学实验，如种植一颗植物，观察并记录它的成长过程。
3、分享与讨论：和家人或朋友分享书中的有趣发现，讨论自然界的奇妙和人类成长的道路。",六年级,
6.0,昆虫记（陈筱卿 译本）,【法】让-亨利·法布尔,时代文艺出版社,9787538754865.0,《昆虫记》是法国著名昆虫学家、文学家让-亨利·法布尔的主要著作，展现了作者对昆虫世界深入细致的观察和研究。法布尔通过这本书分享了他对昆虫行为、生活习性的观察，以及对生命的深刻感悟。这本书不仅是科学著作，更是一部充满诗意的文学作品，通过对昆虫的描写，展现了作者对自然的热爱和对生命奥秘的探索。,"1、观察的精确性：在阅读时，留意法布尔如何细致观察昆虫的行为，记录下它们的特性和习性。体会他作为观察家的才能，以及这些观察对于理解昆虫世界的重要性。
2、生命的诗意：通过细读法布尔对昆虫生活的描写，感受他对自然和生命的热爱，以及通过这些描述所传达的深刻人文思考。
3、昆虫与人类社会：在探索昆虫的世界时，关注法布尔如何使用拟人化手法，将昆虫生活与人类社会的相似之处联系起来。","1、保持好奇心：像法布尔一样对自然保持好奇，尝试在日常生活中观察昆虫和其他动物，了解它们的行为和习性。
2、深入思考：在阅读过程中，思考法布尔所传达的对生命和自然的尊重，以及他对人类社会的深刻见解。",六年级,
7.0,黑骏马,【英】安娜·塞维尔,中国少年儿童出版社（马爱农）,9787514835625.0,《黑骏马》是一本讲述了一匹名叫“黑骏马”的马从幼年到成年的故事，贯穿了友情、勇气、忍耐和爱的主题。书中的黑骏马经历了多次主人变更，从幸福的农场生活到艰苦的伦敦街头拉车，再到参加战争的沙场，最终回归平静生活。在这一过程中，黑骏马遇到了许多人和其他动物，有些给予了它温暖和帮助，有些则让它遭受了苦难。通过黑骏马的视角，作者安娜·塞维尔讲述了关于忠诚、勇气、和对生命的尊重的故事。,"1、角色演变：观察黑骏马以及它生命中遇到的关键角色是如何随着故事发展而成长变化的。2、主题理解：思考友情、勇气、忍耐和爱如何在黑骏马的经历中展现，以及这些主题对我们今天生活的意义。
3、情感共鸣：在阅读过程中，感受并理解黑骏马以及其他角色的情感波动，思考我们如何对待动物和他人。","1、深入讨论：在阅读的时候，可以和同学或家人一起讨论黑骏马遇到的不同经历以及这些经历对它有什么样的影响。
2、情感共鸣：试着从黑骏马的角度思考，感受它在不同情况下的心情变化，从而培养同理心。
3、创造性表达：你可以尝试绘画、写作或表演，来表达对书中某一场景或角色的理解和感受。",六年级,
8.0,战马,【英】迈克尔·莫波格,南海出版公司/新经典,9787544279260.0,《战马》是一部感人至深的小说，讲述了一匹名叫乔伊的农场马在第一次世界大战中的经历。乔伊与它的小主人艾伯特之间的深厚友情，贯穿了整个故事。战争爆发后，乔伊被征召入军，成为一匹军马。在战火纷飞的欧洲战场上，乔伊经历了主人的更迭、战斗的残酷和生死的考验。尽管如此，乔伊始终保持着对人类的信任和对自由的向往。故事通过乔伊的眼睛，展示了战争对人类和动物的影响，以及爱与勇气的力量。,"1、情感联系：关注乔伊和艾伯特之间深厚的情感联系，思考这种关系如何帮助他们在困难中坚持下去。
2、战争的影响：通过乔伊的经历，理解战争对人类和动物的影响，以及它如何改变了参战者和平民的生活。
3、勇气与忠诚：留意故事中展现的勇气和忠诚，思考这些品质在面对挑战时的重要性。","1、想象与预测：在阅读的时候，试着想象自己是乔伊，面对战争和困难时会怎样选择和行动。这不仅能增强阅读的互动性，也能培养你的同理心。
2、情感共鸣：试着理解书中人物和乔伊的感受，特别是它们在面临生离死别时的情绪。这有助于你更好地理解战争对人和动物的影响。
3、深入思考：阅读完毕后，思考战争对生命的意义以及爱与希望在困难时刻的重要性。你可以写下自己的感想或与同学、家人讨论这些主题。",六年级,
9.0,汤姆.索亚历险记,【美】马克·吐温,天津人民出版社（果麦）,9787201118185.0,《汤姆·索亚历险记》是马克·吐温的一部经典儿童文学作品，讲述了一个充满好奇心和爱冒险精神的小男孩汤姆·索亚的故事。汤姆生活在密西西比河边的一个小镇上，他与朋友哈克·芬和乔·哈珀一起，经历了寻找宝藏、目击谋杀案、自己变成了“海盗”、迷失在洞穴等一系列惊心动魄的冒险。这本书不仅展现了汤姆的聪明勇敢和正义感，还描绘了19世纪中期美国小镇的生活场景，让读者在紧张刺激的故事中体验到了成长的快乐和挑战。,"1、角色成长：留意汤姆和他的朋友们在冒险过程中如何成长，他们是如何处理困难和挑战，以及这些经历如何影响他们的性格。
2、友情与勇气：通过汤姆和哈克、乔的友谊，理解朋友之间的互助和信任，以及在困难时刻展现出的勇气。
3、想象与现实：思考书中冒险故事背后的现实意义，比如寻宝活动如何反映了人类对未知的好奇心和探索欲。","1、想象与创造：在阅读汤姆的冒险故事时，可以尝试着想象自己是故事中的角色，思考如果是你，会如何应对这些冒险情境。
2、讨论与分享：与朋友或家人分享阅读中的有趣部分，讨论不同的角色和情节，看看大家对故事的理解和感受是否相同。
3、情感共鸣：尝试理解并感受书中角色的情感，例如汤姆对冒险的渴望、对朋友的忠诚，以及他在面对困难时的勇敢和智慧。",六年级,
10.0,野性的呼唤,【美】杰克·伦敦,上海译文出版社,9787532785551.0,《野性的呼唤》是杰克·伦敦创作的一部经典小说，讲述了一只家养犬巴克的故事。故事开始时，巴克生活在温暖的加州，后来被绑架并卖到阿拉斯加，成为一只雪橇犬。在野外艰苦的生活中，巴克逐渐找回了自己的野性，从一个驯服的家犬变成了一只强大的领袖。故事深刻地探讨了自然与文明、野性与忠诚之间的关系，巴克的冒险旅程充满了挑战和成长，最终他听从内心的呼唤，融入了大自然之中。,"1、角色转变：观察巴克如何从一只被宠爱的家犬，经历重重困难，变成一只强大的野外领袖。这个转变过程中的经历和情感变化是阅读的重点。
2、自然与文明：思考书中展示的自然与文明的冲突，以及巴克如何在这两个世界之间找到自己的位置。
3、生存斗争：通过巴克的故事，理解生存的意义和斗争的价值，以及在逆境中保持坚韧不拔的精神。","1、想象与体验：在阅读的过程中，尝试将自己置身于巴克的环境中，想象面对野性世界的挑战，体验他的冒险和成长。
2、情感共鸣：巴克在经历变化和成长的过程中，有许多情感上的波动，试着理解并感受他的喜悦、悲伤、恐惧和勇气。
3、深入探索：在阅读完这本书后，思考野性的真正含义以及它对个体的影响，以及我们如何在现代生活中寻找与自然的联系。",六年级,
